subjects,career_label,career_description,career_opportunities,sl_monthly_salary,sl_location,foreign_monthly_salary,foreign_location,work_type,skills,education_requirement
"Civil Engineering, Physics, Mathematics",Civil Engineer,"Civil engineers design and oversee construction projects like roads, bridges, and buildings. They plan, budget, and ensure projects meet safety standards. Their work shapes infrastructure and urban development. Proficiency in design software, materials science, and structural analysis is essential.","Construction Firms, Government",99787,Anuradhapura,2619,Germany,Remote,Problem Solving Teamwork Creativity Leadership Research,"Bachelor’s or higher in relevant field with strong foundation in domain and practical exposure through internships, research, or industry certifications."
"Biology, Chemistry, Physics",Medical Scientist,"Medical scientists conduct research to improve human health. They design and perform studies, analyze medical data, and develop treatments or vaccines. Often working in labs or hospitals, they collaborate with physicians and other scientists. Their work contributes to understanding diseases and improving healthcare outcomes. A strong background in biology and research methodology is essential.","Hospitals, Labs, Research Centers",129715,Kurunegala,3897,Germany,Remote,Critical Thinking Leadership Research Python Analysis,"Bachelor’s or higher in relevant field with strong foundation in domain and practical exposure through internships, research, or industry certifications."
"Agriculture, Botany, Environmental Science",Agricultural Officer,"Agricultural officers advise farmers, manage rural projects, and promote sustainable farming. They analyze soil, crop performance, and suggest improvements. Officers often work with the government or NGOs to ensure food security and rural development.","Govt Depts, NGOs, Private Sector",94379,Kurunegala,4254,USA,On-site,Leadership Problem Solving Critical Thinking Creativity Communication,"Bachelor’s or higher in relevant field with strong foundation in domain and practical exposure through internships, research, or industry certifications."
"Mechanical Engineering, Physics, Chemistry",Mechanical Engineer,"Mechanical engineers design, develop, and test mechanical systems. They work in manufacturing, automotive, energy, or robotics sectors. Knowledge of physics, materials, and CAD tools is essential. Engineers solve practical problems with technical innovation.","Factories, R&D Labs",105280,Kurunegala,3899,Australia,Hybrid,Critical Thinking Leadership Teamwork Python Creativity,"Bachelor’s or higher in relevant field with strong foundation in domain and practical exposure through internships, research, or industry certifications."
"Biology, Chemistry, Physics",Medical Scientist,"Medical scientists conduct research to improve human health. They design and perform studies, analyze medical data, and develop treatments or vaccines. Often working in labs or hospitals, they collaborate with physicians and other scientists. Their work contributes to understanding diseases and improving healthcare outcomes. A strong background in biology and research methodology is essential.","Hospitals, Labs, Research Centers",106787,Galle,3420,USA,On-site,Research Problem Solving Teamwork Analysis Critical Thinking,"Bachelor’s or higher in relevant field with strong foundation in domain and practical exposure through internships, research, or industry certifications."
"Fine Arts, Design, Photography",Graphic Designer,"Graphic designers create visual content for branding, marketing, and web design. They use design software to produce logos, posters, ads, and social media content. Aesthetic sense, creativity, and digital skills are vital. Designers work in agencies, media, or freelance.","Media Houses, Agencies, Freelance",124724,Galle,4583,USA,Hybrid,Research Creativity Communication Analysis Python,"Bachelor’s or higher in relevant field with strong foundation in domain and practical exposure through internships, research, or industry certifications."
"Information Technology, AI, Data Science",AI Engineer,"AI engineers develop intelligent systems capable of simulating human behavior. They design algorithms, build models, and integrate AI into applications. Work includes machine learning, deep learning, and natural language processing. AI engineers collaborate with data scientists and developers to deliver smart solutions.","Tech Companies, Startups, R&D",86511,Galle,2938,UK,On-site,Creativity Problem Solving Teamwork Communication Research,"Bachelor’s or higher in relevant field with strong foundation in domain and practical exposure through internships, research, or industry certifications."
"Mechanical Engineering, Physics, Chemistry",Mechanical Engineer,"Mechanical engineers design, develop, and test mechanical systems. They work in manufacturing, automotive, energy, or robotics sectors. Knowledge of physics, materials, and CAD tools is essential. Engineers solve practical problems with technical innovation.","Factories, R&D Labs",61267,Kandy,3333,USA,Hybrid,Analysis Leadership Design Creativity Communication,"Bachelor’s or higher in relevant field with strong foundation in domain and practical exposure through internships, research, or industry certifications."
"Agriculture, Botany, Environmental Science",Agricultural Officer,"Agricultural officers advise farmers, manage rural projects, and promote sustainable farming. They analyze soil, crop performance, and suggest improvements. Officers often work with the government or NGOs to ensure food security and rural development.","Govt Depts, NGOs, Private Sector",61224,Kandy,3957,Australia,Remote,Critical Thinking Analysis Research Leadership Creativity,"Bachelor’s or higher in relevant field with strong foundation in domain and practical exposure through internships, research, or industry certifications."
"Computer Science, Mathematics, Statistics",Data Analyst,"A data analyst collects, processes, and performs statistical analyses of data. They turn data into information that helps businesses make informed decisions. Analysts often work with databases, reporting tools, and visualization platforms. They collaborate with teams to understand data needs and deliver actionable insights. Strong communication and problem-solving skills are essential. Opportunities span across various industries such as finance, healthcare, e-commerce, and education, making it a versatile and in-demand career path for those skilled in data and analytics.","Finance, Healthcare, Tech Firms, Government",122362,Jaffna,5131,Canada,Hybrid,Analysis Python Design Teamwork Critical Thinking,"Bachelor’s or higher in relevant field with strong foundation in domain and practical exposure through internships, research, or industry certifications."
"Law, Political Science, Ethics",Lawyer,"Lawyers represent clients in legal matters, draft contracts, and provide counsel. They may specialize in criminal, civil, corporate, or family law. Strong analytical, communication, and research skills are essential. Lawyers work in courts, law firms, or public service.","Law Firms, Judiciary, Public Sector",83573,Kurunegala,2717,Australia,On-site,Creativity Problem Solving Design Research Python,"Bachelor’s or higher in relevant field with strong foundation in domain and practical exposure through internships, research, or industry certifications."
"Civil Engineering, Physics, Mathematics",Civil Engineer,"Civil engineers design and oversee construction projects like roads, bridges, and buildings. They plan, budget, and ensure projects meet safety standards. Their work shapes infrastructure and urban development. Proficiency in design software, materials science, and structural analysis is essential.","Construction Firms, Government",148882,Galle,2008,USA,Remote,Teamwork Python Communication Creativity Analysis,"Bachelor’s or higher in relevant field with strong foundation in domain and practical exposure through internships, research, or industry certifications."
"History, Political Science, Sociology",Historian,"Historians study, interpret, and write about the past. They analyze historical documents, artifacts, and sources to understand historical events and trends. They may work in academic, museum, or editorial roles. Historians contribute to education, policy-making, and cultural preservation by offering insights into human history.","Universities, Museums, Archives",119398,Anuradhapura,5308,Canada,Remote,Creativity Design Critical Thinking Teamwork Analysis,"Bachelor’s or higher in relevant field with strong foundation in domain and practical exposure through internships, research, or industry certifications."
"Commerce, Economics, Accounting",Chartered Accountant,"Chartered accountants manage finances, audits, and tax planning for organizations. They analyze financial data, ensure regulatory compliance, and advise on budgeting. Their role is vital for business decision-making and financial integrity. CAs often work in firms, corporations, or as independent consultants. A qualification from a recognized accounting body is essential.","Audit Firms, Banks, Corporates",121343,Jaffna,2151,Australia,On-site,Python Creativity Design Analysis Teamwork,"Bachelor’s or higher in relevant field with strong foundation in domain and practical exposure through internships, research, or industry certifications."
"Nursing, Biology, Community Medicine",Nurse,"Nurses provide care, support, and medical assistance to patients. They work in hospitals, clinics, and communities. Duties include administering medication, monitoring health, and educating patients. Compassion, clinical skills, and stamina are important in nursing careers.","Hospitals, Clinics, Health NGOs",111077,Batticaloa,4122,USA,Hybrid,Analysis Creativity Research Teamwork Critical Thinking,"Bachelor’s or higher in relevant field with strong foundation in domain and practical exposure through internships, research, or industry certifications."
"Biology, Chemistry, Physics",Medical Scientist,"Medical scientists conduct research to improve human health. They design and perform studies, analyze medical data, and develop treatments or vaccines. Often working in labs or hospitals, they collaborate with physicians and other scientists. Their work contributes to understanding diseases and improving healthcare outcomes. A strong background in biology and research methodology is essential.","Hospitals, Labs, Research Centers",108192,Anuradhapura,4704,USA,Hybrid,Teamwork Critical Thinking Creativity Analysis Python,"Bachelor’s or higher in relevant field with strong foundation in domain and practical exposure through internships, research, or industry certifications."
"Computer Science, Mathematics, Statistics",Data Analyst,"A data analyst collects, processes, and performs statistical analyses of data. They turn data into information that helps businesses make informed decisions. Analysts often work with databases, reporting tools, and visualization platforms. They collaborate with teams to understand data needs and deliver actionable insights. Strong communication and problem-solving skills are essential. Opportunities span across various industries such as finance, healthcare, e-commerce, and education, making it a versatile and in-demand career path for those skilled in data and analytics.","Finance, Healthcare, Tech Firms, Government",90050,Jaffna,3673,USA,On-site,Communication Design Analysis Creativity Python,"Bachelor’s or higher in relevant field with strong foundation in domain and practical exposure through internships, research, or industry certifications."
"Nursing, Biology, Community Medicine",Nurse,"Nurses provide care, support, and medical assistance to patients. They work in hospitals, clinics, and communities. Duties include administering medication, monitoring health, and educating patients. Compassion, clinical skills, and stamina are important in nursing careers.","Hospitals, Clinics, Health NGOs",143271,Jaffna,5519,Germany,On-site,Creativity Design Leadership Teamwork Analysis,"Bachelor’s or higher in relevant field with strong foundation in domain and practical exposure through internships, research, or industry certifications."
"English, Mass Communication, Psychology",Content Writer,"Content writers create engaging written content for blogs, websites, marketing, and social media. They research topics, develop ideas, and ensure proper tone and grammar. Writers may work in journalism, advertising, education, or freelancing. Creativity, research skills, and command of language are key.","Media, Advertising, Freelance",134851,Kandy,2958,Germany,On-site,Communication Analysis Teamwork Leadership Problem Solving,"Bachelor’s or higher in relevant field with strong foundation in domain and practical exposure through internships, research, or industry certifications."
"Zoology, Marine Biology, Ecology",Wildlife Researcher,"Wildlife researchers study animal behavior, habitats, and conservation strategies. They conduct fieldwork, collect data, and publish findings. Work involves biology, ecology, and environmental science. Passion for nature and scientific inquiry is important.","NGOs, Universities, Forest Depts",114850,Batticaloa,5978,Germany,Hybrid,Communication Analysis Creativity Teamwork Python,"Bachelor’s or higher in relevant field with strong foundation in domain and practical exposure through internships, research, or industry certifications."
"Business Administration, Marketing, HRM",HR Manager,"HR managers handle recruitment, employee relations, and organizational development. They ensure legal compliance, design policies, and manage benefits. HR professionals foster a healthy work culture, support employee growth, and align HR goals with business strategy.","Corporates, NGOs, Consulting",81167,Galle,5232,Canada,Remote,Teamwork Communication Research Leadership Python,"Bachelor’s or higher in relevant field with strong foundation in domain and practical exposure through internships, research, or industry certifications."
"Education, Psychology, Child Development",School Teacher,"Teachers educate students, plan lessons, and assess performance. They work in schools, focusing on academic and social development. Patience, subject knowledge, and communication are key. Teachers play a crucial role in shaping young minds.","Schools, Educational NGOs",93250,Anuradhapura,2942,USA,Remote,Design Python Research Problem Solving Creativity,"Bachelor’s or higher in relevant field with strong foundation in domain and practical exposure through internships, research, or industry certifications."
"Zoology, Marine Biology, Ecology",Wildlife Researcher,"Wildlife researchers study animal behavior, habitats, and conservation strategies. They conduct fieldwork, collect data, and publish findings. Work involves biology, ecology, and environmental science. Passion for nature and scientific inquiry is important.","NGOs, Universities, Forest Depts",65330,Colombo,3436,Germany,Hybrid,Python Design Research Critical Thinking Creativity,"Bachelor’s or higher in relevant field with strong foundation in domain and practical exposure through internships, research, or industry certifications."
"Agriculture, Botany, Environmental Science",Agricultural Officer,"Agricultural officers advise farmers, manage rural projects, and promote sustainable farming. They analyze soil, crop performance, and suggest improvements. Officers often work with the government or NGOs to ensure food security and rural development.","Govt Depts, NGOs, Private Sector",149921,Kandy,3389,Germany,Hybrid,Analysis Critical Thinking Research Leadership Problem Solving,"Bachelor’s or higher in relevant field with strong foundation in domain and practical exposure through internships, research, or industry certifications."
"Mechanical Engineering, Physics, Chemistry",Mechanical Engineer,"Mechanical engineers design, develop, and test mechanical systems. They work in manufacturing, automotive, energy, or robotics sectors. Knowledge of physics, materials, and CAD tools is essential. Engineers solve practical problems with technical innovation.","Factories, R&D Labs",65721,Batticaloa,3463,USA,Hybrid,Problem Solving Teamwork Critical Thinking Communication Design,"Bachelor’s or higher in relevant field with strong foundation in domain and practical exposure through internships, research, or industry certifications."
"History, Political Science, Sociology",Historian,"Historians study, interpret, and write about the past. They analyze historical documents, artifacts, and sources to understand historical events and trends. They may work in academic, museum, or editorial roles. Historians contribute to education, policy-making, and cultural preservation by offering insights into human history.","Universities, Museums, Archives",70165,Anuradhapura,5414,UK,Hybrid,Teamwork Leadership Creativity Design Problem Solving,"Bachelor’s or higher in relevant field with strong foundation in domain and practical exposure through internships, research, or industry certifications."
"Information Technology, AI, Data Science",AI Engineer,"AI engineers develop intelligent systems capable of simulating human behavior. They design algorithms, build models, and integrate AI into applications. Work includes machine learning, deep learning, and natural language processing. AI engineers collaborate with data scientists and developers to deliver smart solutions.","Tech Companies, Startups, R&D",69961,Jaffna,5200,UK,Remote,Design Teamwork Python Critical Thinking Creativity,"Bachelor’s or higher in relevant field with strong foundation in domain and practical exposure through internships, research, or industry certifications."
"Fine Arts, Design, Photography",Graphic Designer,"Graphic designers create visual content for branding, marketing, and web design. They use design software to produce logos, posters, ads, and social media content. Aesthetic sense, creativity, and digital skills are vital. Designers work in agencies, media, or freelance.","Media Houses, Agencies, Freelance",93812,Kandy,3107,Australia,On-site,Critical Thinking Creativity Problem Solving Leadership Design,"Bachelor’s or higher in relevant field with strong foundation in domain and practical exposure through internships, research, or industry certifications."
"Education, Psychology, Child Development",School Teacher,"Teachers educate students, plan lessons, and assess performance. They work in schools, focusing on academic and social development. Patience, subject knowledge, and communication are key. Teachers play a crucial role in shaping young minds.","Schools, Educational NGOs",71814,Galle,4287,USA,On-site,Python Communication Teamwork Analysis Leadership,"Bachelor’s or higher in relevant field with strong foundation in domain and practical exposure through internships, research, or industry certifications."
"Mechanical Engineering, Physics, Chemistry",Mechanical Engineer,"Mechanical engineers design, develop, and test mechanical systems. They work in manufacturing, automotive, energy, or robotics sectors. Knowledge of physics, materials, and CAD tools is essential. Engineers solve practical problems with technical innovation.","Factories, R&D Labs",135216,Anuradhapura,5312,Australia,Remote,Analysis Creativity Research Communication Critical Thinking,"Bachelor’s or higher in relevant field with strong foundation in domain and practical exposure through internships, research, or industry certifications."
"Nursing, Biology, Community Medicine",Nurse,"Nurses provide care, support, and medical assistance to patients. They work in hospitals, clinics, and communities. Duties include administering medication, monitoring health, and educating patients. Compassion, clinical skills, and stamina are important in nursing careers.","Hospitals, Clinics, Health NGOs",135487,Colombo,3668,USA,Remote,Analysis Leadership Teamwork Python Creativity,"Bachelor’s or higher in relevant field with strong foundation in domain and practical exposure through internships, research, or industry certifications."
"Business Administration, Marketing, HRM",HR Manager,"HR managers handle recruitment, employee relations, and organizational development. They ensure legal compliance, design policies, and manage benefits. HR professionals foster a healthy work culture, support employee growth, and align HR goals with business strategy.","Corporates, NGOs, Consulting",104289,Galle,3904,UK,Hybrid,Research Communication Design Analysis Teamwork,"Bachelor’s or higher in relevant field with strong foundation in domain and practical exposure through internships, research, or industry certifications."
"Information Technology, AI, Data Science",AI Engineer,"AI engineers develop intelligent systems capable of simulating human behavior. They design algorithms, build models, and integrate AI into applications. Work includes machine learning, deep learning, and natural language processing. AI engineers collaborate with data scientists and developers to deliver smart solutions.","Tech Companies, Startups, R&D",88190,Kurunegala,5380,USA,Remote,Communication Leadership Critical Thinking Python Problem Solving,"Bachelor’s or higher in relevant field with strong foundation in domain and practical exposure through internships, research, or industry certifications."
"Commerce, Economics, Accounting",Chartered Accountant,"Chartered accountants manage finances, audits, and tax planning for organizations. They analyze financial data, ensure regulatory compliance, and advise on budgeting. Their role is vital for business decision-making and financial integrity. CAs often work in firms, corporations, or as independent consultants. A qualification from a recognized accounting body is essential.","Audit Firms, Banks, Corporates",81760,Kurunegala,5643,Germany,Remote,Analysis Communication Problem Solving Python Teamwork,"Bachelor’s or higher in relevant field with strong foundation in domain and practical exposure through internships, research, or industry certifications."
"Commerce, Economics, Accounting",Chartered Accountant,"Chartered accountants manage finances, audits, and tax planning for organizations. They analyze financial data, ensure regulatory compliance, and advise on budgeting. Their role is vital for business decision-making and financial integrity. CAs often work in firms, corporations, or as independent consultants. A qualification from a recognized accounting body is essential.","Audit Firms, Banks, Corporates",70677,Colombo,2590,Canada,Remote,Communication Research Analysis Critical Thinking Design,"Bachelor’s or higher in relevant field with strong foundation in domain and practical exposure through internships, research, or industry certifications."
"Business Administration, Marketing, HRM",HR Manager,"HR managers handle recruitment, employee relations, and organizational development. They ensure legal compliance, design policies, and manage benefits. HR professionals foster a healthy work culture, support employee growth, and align HR goals with business strategy.","Corporates, NGOs, Consulting",114121,Kandy,3565,Germany,Hybrid,Problem Solving Leadership Research Communication Critical Thinking,"Bachelor’s or higher in relevant field with strong foundation in domain and practical exposure through internships, research, or industry certifications."
"History, Political Science, Sociology",Historian,"Historians study, interpret, and write about the past. They analyze historical documents, artifacts, and sources to understand historical events and trends. They may work in academic, museum, or editorial roles. Historians contribute to education, policy-making, and cultural preservation by offering insights into human history.","Universities, Museums, Archives",61383,Kurunegala,5660,Germany,On-site,Communication Leadership Critical Thinking Python Design,"Bachelor’s or higher in relevant field with strong foundation in domain and practical exposure through internships, research, or industry certifications."
"Mechanical Engineering, Physics, Chemistry",Mechanical Engineer,"Mechanical engineers design, develop, and test mechanical systems. They work in manufacturing, automotive, energy, or robotics sectors. Knowledge of physics, materials, and CAD tools is essential. Engineers solve practical problems with technical innovation.","Factories, R&D Labs",106114,Jaffna,4728,Germany,Hybrid,Creativity Teamwork Leadership Research Problem Solving,"Bachelor’s or higher in relevant field with strong foundation in domain and practical exposure through internships, research, or industry certifications."
"Fine Arts, Design, Photography",Graphic Designer,"Graphic designers create visual content for branding, marketing, and web design. They use design software to produce logos, posters, ads, and social media content. Aesthetic sense, creativity, and digital skills are vital. Designers work in agencies, media, or freelance.","Media Houses, Agencies, Freelance",97042,Kandy,5347,Germany,On-site,Teamwork Python Leadership Creativity Critical Thinking,"Bachelor’s or higher in relevant field with strong foundation in domain and practical exposure through internships, research, or industry certifications."
"Zoology, Marine Biology, Ecology",Wildlife Researcher,"Wildlife researchers study animal behavior, habitats, and conservation strategies. They conduct fieldwork, collect data, and publish findings. Work involves biology, ecology, and environmental science. Passion for nature and scientific inquiry is important.","NGOs, Universities, Forest Depts",83700,Jaffna,3647,Germany,On-site,Teamwork Analysis Design Research Creativity,"Bachelor’s or higher in relevant field with strong foundation in domain and practical exposure through internships, research, or industry certifications."
"Civil Engineering, Physics, Mathematics",Civil Engineer,"Civil engineers design and oversee construction projects like roads, bridges, and buildings. They plan, budget, and ensure projects meet safety standards. Their work shapes infrastructure and urban development. Proficiency in design software, materials science, and structural analysis is essential.","Construction Firms, Government",117195,Kandy,4024,UK,Remote,Research Creativity Design Python Teamwork,"Bachelor’s or higher in relevant field with strong foundation in domain and practical exposure through internships, research, or industry certifications."
"Computer Science, Mathematics, Statistics",Data Analyst,"A data analyst collects, processes, and performs statistical analyses of data. They turn data into information that helps businesses make informed decisions. Analysts often work with databases, reporting tools, and visualization platforms. They collaborate with teams to understand data needs and deliver actionable insights. Strong communication and problem-solving skills are essential. Opportunities span across various industries such as finance, healthcare, e-commerce, and education, making it a versatile and in-demand career path for those skilled in data and analytics.","Finance, Healthcare, Tech Firms, Government",120618,Anuradhapura,3311,Australia,On-site,Creativity Teamwork Analysis Communication Leadership,"Bachelor’s or higher in relevant field with strong foundation in domain and practical exposure through internships, research, or industry certifications."
"Zoology, Marine Biology, Ecology",Wildlife Researcher,"Wildlife researchers study animal behavior, habitats, and conservation strategies. They conduct fieldwork, collect data, and publish findings. Work involves biology, ecology, and environmental science. Passion for nature and scientific inquiry is important.","NGOs, Universities, Forest Depts",98806,Anuradhapura,5964,Canada,On-site,Design Leadership Teamwork Problem Solving Analysis,"Bachelor’s or higher in relevant field with strong foundation in domain and practical exposure through internships, research, or industry certifications."
"Commerce, Economics, Accounting",Chartered Accountant,"Chartered accountants manage finances, audits, and tax planning for organizations. They analyze financial data, ensure regulatory compliance, and advise on budgeting. Their role is vital for business decision-making and financial integrity. CAs often work in firms, corporations, or as independent consultants. A qualification from a recognized accounting body is essential.","Audit Firms, Banks, Corporates",134249,Kurunegala,5442,USA,Remote,Python Design Analysis Problem Solving Leadership,"Bachelor’s or higher in relevant field with strong foundation in domain and practical exposure through internships, research, or industry certifications."
"Education, Psychology, Child Development",School Teacher,"Teachers educate students, plan lessons, and assess performance. They work in schools, focusing on academic and social development. Patience, subject knowledge, and communication are key. Teachers play a crucial role in shaping young minds.","Schools, Educational NGOs",106127,Galle,5233,USA,On-site,Teamwork Research Analysis Problem Solving Creativity,"Bachelor’s or higher in relevant field with strong foundation in domain and practical exposure through internships, research, or industry certifications."
"Mechanical Engineering, Physics, Chemistry",Mechanical Engineer,"Mechanical engineers design, develop, and test mechanical systems. They work in manufacturing, automotive, energy, or robotics sectors. Knowledge of physics, materials, and CAD tools is essential. Engineers solve practical problems with technical innovation.","Factories, R&D Labs",75716,Kandy,3768,UK,Hybrid,Python Design Teamwork Analysis Critical Thinking,"Bachelor’s or higher in relevant field with strong foundation in domain and practical exposure through internships, research, or industry certifications."
"Civil Engineering, Physics, Mathematics",Civil Engineer,"Civil engineers design and oversee construction projects like roads, bridges, and buildings. They plan, budget, and ensure projects meet safety standards. Their work shapes infrastructure and urban development. Proficiency in design software, materials science, and structural analysis is essential.","Construction Firms, Government",70087,Batticaloa,5525,Australia,Remote,Design Creativity Problem Solving Python Analysis,"Bachelor’s or higher in relevant field with strong foundation in domain and practical exposure through internships, research, or industry certifications."
"Computer Science, Mathematics, Statistics",Data Analyst,"A data analyst collects, processes, and performs statistical analyses of data. They turn data into information that helps businesses make informed decisions. Analysts often work with databases, reporting tools, and visualization platforms. They collaborate with teams to understand data needs and deliver actionable insights. Strong communication and problem-solving skills are essential. Opportunities span across various industries such as finance, healthcare, e-commerce, and education, making it a versatile and in-demand career path for those skilled in data and analytics.","Finance, Healthcare, Tech Firms, Government",113873,Galle,4078,UK,On-site,Communication Critical Thinking Python Problem Solving Teamwork,"Bachelor’s or higher in relevant field with strong foundation in domain and practical exposure through internships, research, or industry certifications."
"Law, Political Science, Ethics",Lawyer,"Lawyers represent clients in legal matters, draft contracts, and provide counsel. They may specialize in criminal, civil, corporate, or family law. Strong analytical, communication, and research skills are essential. Lawyers work in courts, law firms, or public service.","Law Firms, Judiciary, Public Sector",131578,Galle,2694,Canada,Remote,Communication Design Analysis Leadership Critical Thinking,"Bachelor’s or higher in relevant field with strong foundation in domain and practical exposure through internships, research, or industry certifications."
"Law, Political Science, Ethics",Lawyer,"Lawyers represent clients in legal matters, draft contracts, and provide counsel. They may specialize in criminal, civil, corporate, or family law. Strong analytical, communication, and research skills are essential. Lawyers work in courts, law firms, or public service.","Law Firms, Judiciary, Public Sector",88058,Colombo,3323,USA,Remote,Design Problem Solving Research Analysis Leadership,"Bachelor’s or higher in relevant field with strong foundation in domain and practical exposure through internships, research, or industry certifications."
"Information Technology, AI, Data Science",AI Engineer,"AI engineers develop intelligent systems capable of simulating human behavior. They design algorithms, build models, and integrate AI into applications. Work includes machine learning, deep learning, and natural language processing. AI engineers collaborate with data scientists and developers to deliver smart solutions.","Tech Companies, Startups, R&D",144761,Kurunegala,3946,Canada,Hybrid,Communication Leadership Problem Solving Critical Thinking Python,"Bachelor’s or higher in relevant field with strong foundation in domain and practical exposure through internships, research, or industry certifications."
"Fine Arts, Design, Photography",Graphic Designer,"Graphic designers create visual content for branding, marketing, and web design. They use design software to produce logos, posters, ads, and social media content. Aesthetic sense, creativity, and digital skills are vital. Designers work in agencies, media, or freelance.","Media Houses, Agencies, Freelance",119242,Galle,4732,Australia,Remote,Leadership Critical Thinking Analysis Teamwork Creativity,"Bachelor’s or higher in relevant field with strong foundation in domain and practical exposure through internships, research, or industry certifications."
"Nursing, Biology, Community Medicine",Nurse,"Nurses provide care, support, and medical assistance to patients. They work in hospitals, clinics, and communities. Duties include administering medication, monitoring health, and educating patients. Compassion, clinical skills, and stamina are important in nursing careers.","Hospitals, Clinics, Health NGOs",148730,Batticaloa,5740,USA,On-site,Teamwork Critical Thinking Analysis Creativity Leadership,"Bachelor’s or higher in relevant field with strong foundation in domain and practical exposure through internships, research, or industry certifications."
"Computer Science, Mathematics, Statistics",Data Analyst,"A data analyst collects, processes, and performs statistical analyses of data. They turn data into information that helps businesses make informed decisions. Analysts often work with databases, reporting tools, and visualization platforms. They collaborate with teams to understand data needs and deliver actionable insights. Strong communication and problem-solving skills are essential. Opportunities span across various industries such as finance, healthcare, e-commerce, and education, making it a versatile and in-demand career path for those skilled in data and analytics.","Finance, Healthcare, Tech Firms, Government",148210,Anuradhapura,3064,Australia,On-site,Problem Solving Leadership Python Teamwork Creativity,"Bachelor’s or higher in relevant field with strong foundation in domain and practical exposure through internships, research, or industry certifications."
"Commerce, Economics, Accounting",Chartered Accountant,"Chartered accountants manage finances, audits, and tax planning for organizations. They analyze financial data, ensure regulatory compliance, and advise on budgeting. Their role is vital for business decision-making and financial integrity. CAs often work in firms, corporations, or as independent consultants. A qualification from a recognized accounting body is essential.","Audit Firms, Banks, Corporates",130781,Kandy,3333,Canada,On-site,Leadership Research Creativity Critical Thinking Python,"Bachelor’s or higher in relevant field with strong foundation in domain and practical exposure through internships, research, or industry certifications."
"Business Administration, Marketing, HRM",HR Manager,"HR managers handle recruitment, employee relations, and organizational development. They ensure legal compliance, design policies, and manage benefits. HR professionals foster a healthy work culture, support employee growth, and align HR goals with business strategy.","Corporates, NGOs, Consulting",74713,Colombo,2822,Germany,Hybrid,Problem Solving Research Critical Thinking Communication Analysis,"Bachelor’s or higher in relevant field with strong foundation in domain and practical exposure through internships, research, or industry certifications."
"Commerce, Economics, Accounting",Chartered Accountant,"Chartered accountants manage finances, audits, and tax planning for organizations. They analyze financial data, ensure regulatory compliance, and advise on budgeting. Their role is vital for business decision-making and financial integrity. CAs often work in firms, corporations, or as independent consultants. A qualification from a recognized accounting body is essential.","Audit Firms, Banks, Corporates",108379,Anuradhapura,2659,UK,On-site,Teamwork Research Analysis Communication Problem Solving,"Bachelor’s or higher in relevant field with strong foundation in domain and practical exposure through internships, research, or industry certifications."
"Information Technology, AI, Data Science",AI Engineer,"AI engineers develop intelligent systems capable of simulating human behavior. They design algorithms, build models, and integrate AI into applications. Work includes machine learning, deep learning, and natural language processing. AI engineers collaborate with data scientists and developers to deliver smart solutions.","Tech Companies, Startups, R&D",63410,Galle,5640,Canada,On-site,Critical Thinking Problem Solving Leadership Analysis Teamwork,"Bachelor’s or higher in relevant field with strong foundation in domain and practical exposure through internships, research, or industry certifications."
"English, Mass Communication, Psychology",Content Writer,"Content writers create engaging written content for blogs, websites, marketing, and social media. They research topics, develop ideas, and ensure proper tone and grammar. Writers may work in journalism, advertising, education, or freelancing. Creativity, research skills, and command of language are key.","Media, Advertising, Freelance",115879,Colombo,4599,USA,Remote,Critical Thinking Research Leadership Python Communication,"Bachelor’s or higher in relevant field with strong foundation in domain and practical exposure through internships, research, or industry certifications."
"Biology, Chemistry, Physics",Medical Scientist,"Medical scientists conduct research to improve human health. They design and perform studies, analyze medical data, and develop treatments or vaccines. Often working in labs or hospitals, they collaborate with physicians and other scientists. Their work contributes to understanding diseases and improving healthcare outcomes. A strong background in biology and research methodology is essential.","Hospitals, Labs, Research Centers",73334,Anuradhapura,3247,Australia,Hybrid,Critical Thinking Teamwork Python Leadership Communication,"Bachelor’s or higher in relevant field with strong foundation in domain and practical exposure through internships, research, or industry certifications."
"Fine Arts, Design, Photography",Graphic Designer,"Graphic designers create visual content for branding, marketing, and web design. They use design software to produce logos, posters, ads, and social media content. Aesthetic sense, creativity, and digital skills are vital. Designers work in agencies, media, or freelance.","Media Houses, Agencies, Freelance",127302,Galle,2461,Germany,Remote,Communication Teamwork Critical Thinking Creativity Analysis,"Bachelor’s or higher in relevant field with strong foundation in domain and practical exposure through internships, research, or industry certifications."
"Computer Science, Mathematics, Statistics",Data Analyst,"A data analyst collects, processes, and performs statistical analyses of data. They turn data into information that helps businesses make informed decisions. Analysts often work with databases, reporting tools, and visualization platforms. They collaborate with teams to understand data needs and deliver actionable insights. Strong communication and problem-solving skills are essential. Opportunities span across various industries such as finance, healthcare, e-commerce, and education, making it a versatile and in-demand career path for those skilled in data and analytics.","Finance, Healthcare, Tech Firms, Government",81538,Jaffna,3126,Australia,On-site,Creativity Python Analysis Teamwork Leadership,"Bachelor’s or higher in relevant field with strong foundation in domain and practical exposure through internships, research, or industry certifications."
